Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
HIP 50583,"HD 89484, HR 4057",Algieba,10:19:58.34,+19:50:29.36,,,2.01,HIP,50583,Star,stars,Leo,,,bright_named_stars
HIP 109268,"HD 209952, HR 8425",Alnair,22:08:13.95,-46:57:39.51,,,1.73,HIP,109268,Star,stars,Grus,,,bright_named_stars
HIP 62956,"HD 112185, HR 4905",Alioth,12:54:01.70,+55:57:35.36,,,1.76,HIP,62956,Star,stars,Ursa Major,,,bright_named_stars
HIP 54061,"HD 95689, HR 4301",Dubhe,11:03:43.76,+61:45:03.72,,,1.81,HIP,54061,Star,stars,Ursa Major,,,bright_named_stars
HIP 67301,"HD 120315, HR 5191",Alkaid,13:47:32.47,+49:18:47.75,,,1.85,HIP,67301,Star,stars,Ursa Major,,,bright_named_stars
HIP 15863,"HD 20902, HR 1017",Mirfak,03:24:19.36,+49:51:40.25,,,1.79,HIP,15863,Star,stars,Perseus,,,bright_named_stars
HIP 90185,"HD 169022, HR 6879",Kaus Australis,18:24:10.32,-34:23:04.62,,,1.79,HIP,90185,Star,stars,Sagittarius,,,bright_named_stars
HIP 82273,"HD 150798, HR 6217",Atria,16:48:39.88,-69:01:39.77,,,1.91,HIP,82273,Star,stars,Triangulum Australe,,,bright_named_stars
HIP 42913,"HD 74956, HR 3485",Alsephina,08:44:42.21,-54:42:31.76,,,1.93,HIP,42913,Star,stars,Vela,,,bright_named_stars
HIP 100751,"HD 193924, HR 7790",Peacock,20:25:38.85,-56:44:06.32,,,1.94,HIP,100751,Star,stars,Pavo,,,bright_named_stars
HIP 11767,"HD 8890, HR 424",Polaris,02:31:47.10,+89:15:50.79,,,1.97,HIP,11767,Star,stars,Ursa Minor,,,bright_named_stars
HIP 46390,"HD 81797, HR 3748",Alphard,09:27:35.24,-08:39:30.97,,,1.99,HIP,46390,Star,stars,Hydra,,,bright_named_stars
HIP 9884,"HD 12929, HR 617",Hamal,02:07:10.40,+23:27:44.72,,,2.01,HIP,9884,Star,stars,Aries,,,bright_named_stars
